startDateTime,endDateTime,surfacewaterElevMean,surfacewaterElevMinimum,surfacewaterElevMaximum,surfacewaterElevVariance,surfacewaterElevNumPts,surfacewaterElevExpUncert,surfacewaterElevStdErMean,sWatElevFinalQF
"2017-10-15T16:05:00Z","2017-10-15T16:10:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T16:10:00Z","2017-10-15T16:15:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T16:15:00Z","2017-10-15T16:20:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T16:20:00Z","2017-10-15T16:25:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T16:25:00Z","2017-10-15T16:30:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T16:30:00Z","2017-10-15T16:35:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T16:35:00Z","2017-10-15T16:40:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T16:40:00Z","2017-10-15T16:45:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T16:45:00Z","2017-10-15T16:50:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T16:50:00Z","2017-10-15T16:55:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T16:55:00Z","2017-10-15T17:00:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T17:00:00Z","2017-10-15T17:05:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T17:05:00Z","2017-10-15T17:10:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T17:10:00Z","2017-10-15T17:15:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T17:15:00Z","2017-10-15T17:20:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T17:20:00Z","2017-10-15T17:25:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T17:25:00Z","2017-10-15T17:30:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T17:30:00Z","2017-10-15T17:35:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T17:35:00Z","2017-10-15T17:40:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T17:40:00Z","2017-10-15T17:45:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T17:45:00Z","2017-10-15T17:50:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T17:50:00Z","2017-10-15T17:55:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T17:55:00Z","2017-10-15T18:00:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T18:00:00Z","2017-10-15T18:05:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T18:05:00Z","2017-10-15T18:10:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T18:10:00Z","2017-10-15T18:15:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T18:15:00Z","2017-10-15T18:20:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T18:20:00Z","2017-10-15T18:25:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T18:25:00Z","2017-10-15T18:30:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T18:30:00Z","2017-10-15T18:35:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T18:35:00Z","2017-10-15T18:40:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T18:40:00Z","2017-10-15T18:45:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T18:45:00Z","2017-10-15T18:50:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T18:50:00Z","2017-10-15T18:55:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
